fiscal_year,assistance_category_name,current_amount,constant_amount
2005,Economic,173742,205628
2013,Economic,173715,176358
2010,Economic,173496,185897
2009,Economic,172942,186916
2013,Economic,172709,175338
2001,Economic,172200,223051
2006,Economic,172027,197186
2007,Economic,171600,191517
2001,Economic,171429,222053
2001,Economic,170000,220201
2009,Economic,170000,183736
2012,Economic,170000,175588
2003,Economic,170000,212657
2005,Economic,170000,201200
2002,Economic,170000,216720
2005,Economic,169500,200608
2007,Economic,169000,188615
2013,Economic,168650,171216
2007,Economic,168012,187512
2003,Military,168000,210155
2005,Economic,168000,198833
2005,Economic,167852,198657
2004,Economic,167589,204575
2007,Economic,167408,186839
2001,Economic,166500,215667
2012,Economic,166419,171890
2015,Economic,166167,163952
2007,Economic,166150,185434
2004,Economic,165800,202390
2006,Economic,165720,189956
2003,Economic,165600,207153
2004,Economic,165000,201414
2009,Economic,165000,178332
2005,Economic,165000,195282
2012,Economic,164862,170282
2011,Economic,164175,172540
2000,Economic,163700,217168
2006,Economic,163484,187393
2004,Economic,163300,199338
2007,Economic,162913,181822
2006,Economic,162850,186667
2010,Economic,162641,174267
2005,Economic,162498,192322
2006,Economic,162000,185692
2001,Economic,161850,209645
2005,Economic,161700,191376
2006,Economic,161596,185230
2009,Economic,161595,174652
2010,Economic,161063,172576
2004,Economic,160903,196413
2005,Economic,160000,189364
2002,Economic,160000,203972
2002,Economic,160000,203972
2010,Economic,160000,171436
2001,Economic,159900,207118
2006,Economic,159500,182827
2008,Economic,159282,174172
2011,Economic,159261,167376
2012,Economic,159215,164449
2016,Economic,158849,154281
2004,Economic,158284,193216
2004,Economic,157889,192733
2007,Economic,157000,175222
2014,Economic,157000,157000
2002,Economic,156883,199999
2005,Economic,156519,185245
2011,Economic,156093,164046
2009,Economic,155751,168336
2010,Economic,155732,166864
2006,Economic,155561,178311
2004,Economic,155500,189817
2014,Economic,155490,155490
2000,Economic,154200,204565
2007,Economic,153827,171681
2011,Economic,153803,161640
2006,Economic,153716,176198
2007,Economic,153548,171370
2002,Economic,153224,195335
2012,Military,152834,157858
2006,Economic,152500,174803
2011,Economic,152187,159941
2007,Economic,151294,168855
2011,Economic,151218,158924
2011,Economic,150836,158521
2005,Economic,150000,177529
2007,Economic,150000,167410
2010,Economic,150000,160721
2012,Economic,150000,154931
2003,Economic,150000,187638
2008,Economic,150000,164022
2005,Economic,150000,177529
2005,Economic,150000,177529
2005,Economic,150000,177529
2012,Economic,150000,154931
2014,Economic,150000,150000
2013,Economic,150000,152282
2003,Economic,150000,187638
2014,Economic,150000,150000
2012,Economic,150000,154931
2005,Economic,150000,177529
2003,Economic,150000,187638
2011,Economic,150000,157642
2003,Economic,150000,187638
2014,Economic,149998,149998
2011,Economic,149829,157463
2015,Economic,149734,147738
2014,Economic,148978,148978
2010,Economic,148907,159551
2004,Economic,148800,181638
2009,Economic,148774,160795
2011,Economic,148500,156066
2006,Economic,148397,170100
2010,Economic,148184,158776
2009,Economic,148021,159981
2012,Economic,147825,152684
2008,Economic,147700,161507
2009,Economic,147552,159475
2014,Economic,147542,147542
2011,Economic,147290,154795
2011,Economic,147159,154657
2009,Economic,147000,158877
2010,Economic,146084,156526
2011,Economic,145667,153089
2011,Economic,145185,152583
2011,Economic,145097,152490
2007,Economic,145081,161920
2002,Economic,143985,183556
2008,Economic,143688,157120
2003,Economic,142500,178256
2003,Economic,141800,177381
2005,Economic,141700,167706
2005,Economic,141489,167457
2000,Economic,141400,187584
2004,Economic,140304,171268
2003,Economic,140000,175129
2015,Economic,140000,138134
2007,Economic,139958,156202
2001,Economic,139770,181044
2004,Economic,139624,170437
2003,Economic,139500,174504
2003,Economic,139437,174426
2010,Economic,139159,149105
2008,Economic,138687,151652
2011,Economic,138095,145131
2012,Economic,137619,142143
2008,Economic,137300,150135
2007,Economic,137090,153002
2013,Economic,137066,139152
2007,Economic,137059,152967
2003,Economic,136800,171126
2011,Economic,136796,143766
2002,Economic,136706,174276
2004,Economic,136500,166624
2011,Economic,136040,142971
2007,Economic,135321,151027
2013,Economic,135034,137089
2006,Economic,135000,154743
2015,Economic,134830,133033
2015,Economic,134699,132903
2008,Economic,134463,147033
2002,Economic,134326,171243
2002,Economic,134150,171018
2008,Economic,133904,146421
2010,Economic,133862,143431
2007,Economic,133600,149106
2014,Economic,133500,133500
2010,Economic,133389,142923
2011,Economic,133362,140158
2002,Economic,132968,169512
2012,Economic,132785,137150
2016,Economic,132068,128270
2001,Economic,131900,170850
2001,Economic,131600,170461
2002,Economic,131400,167512
2012,Economic,131006,135313
2016,Economic,130414,126664
2006,Economic,130000,149012
2005,Economic,129664,153462
2013,Economic,129534,131505
2001,Economic,129229,167391
2006,Economic,128607,147416
2005,Economic,128600,152202
2010,Economic,128444,137625
2003,Economic,128300,160493
2004,Economic,128266,156573
2012,Economic,127970,132176
2014,Economic,127829,127829
2009,Economic,127150,137424
2007,Economic,127000,141740
2000,Economic,126769,168174
2002,Economic,126500,161265
2002,Economic,126000,160628
2003,Economic,126000,157616
2008,Economic,125912,137683
2002,Economic,125484,159970
2005,Economic,125300,148296
2010,Economic,125276,134230
2002,Economic,125100,159481
2004,Economic,125000,152586
2005,Economic,125000,147941
2011,Economic,125000,131369
2007,Economic,125000,139508
2014,Economic,125000,125000
2010,Economic,124761,133678
2009,Economic,124271,134312
2005,Economic,123909,146650
2007,Economic,123239,137543
2010,Economic,122055,130779
2009,Economic,121424,131236
2014,Economic,121356,121356
2011,Economic,120976,127140
2009,Economic,120700,130452
2013,Economic,120648,122484
2000,Economic,120300,159592
2009,Economic,120268,129986
2005,Economic,120200,142260
2003,Economic,120000,150111
2012,Economic,119823,123762
2008,Economic,119169,130310
2015,Economic,119103,117516
2004,Economic,118914,145157
2016,Economic,118908,115488
2013,Economic,118840,120649
2014,Economic,118814,118814
2002,Economic,118800,151449
2001,Economic,118746,153811
2010,Economic,118288,126743
2006,Economic,118000,135258
2004,Economic,118000,144041
2014,Economic,117939,117939
2000,Economic,117800,156276
2012,Economic,117332,121189
2005,Economic,117202,138713
2005,Economic,116996,138469
2011,Economic,116399,122330
2008,Economic,116312,127185
2004,Economic,116000,141600
2014,Economic,115436,115436
2005,Economic,115200,136342
2012,Economic,114780,118553
2009,Economic,114735,124005
2009,Economic,114500,123751
2011,Economic,114065,119877
2004,Economic,113080,138036
2005,Economic,112700,133383
2002,Economic,111986,142763
2011,Economic,111781,117476
2012,Economic,111483,115148
2009,Economic,111345,120341
2011,Economic,111279,116949
2007,Economic,111199,124106
2004,Economic,111069,135581
2004,Economic,110056,134344
2006,Economic,110000,126087
2004,Economic,109874,134122
2015,Economic,109850,108386
2009,Economic,109443,118286
2013,Economic,109057,110717
2014,Economic,108972,108972
2010,Economic,108663,116430
2009,Economic,108461,117224
2001,Economic,108000,139892
2006,Economic,107792,123557
2005,Economic,107123,126784
2004,Economic,107100,130736
2003,Economic,106900,133723
2012,Economic,106829,110341
2014,Economic,106808,106808
2000,Economic,106600,141418
2006,Economic,105949,121444
2014,Economic,105784,105784
2008,Economic,105600,115471
2013,Economic,105593,107200
2012,Economic,105561,109031
2004,Economic,105387,128645
2003,Economic,105358,131795
2012,Economic,105279,108740
2013,Economic,104570,106161
2007,Economic,104548,116683
2013,Economic,104496,106086
2014,Economic,104457,104457
2011,Economic,104325,109641
2005,Economic,104000,123087
2005,Economic,103612,122627
2006,Economic,103400,118522
2000,Economic,103325,137073
2014,Economic,103109,103109
2005,Economic,102300,121075
2000,Economic,102300,135713
2000,Economic,102300,135713
2006,Economic,102299,117260
2002,Economic,102200,130287
2012,Economic,102018,105372
2012,Economic,101976,105328
2008,Economic,101674,111179
2009,Economic,101672,109887
2012,Economic,101510,104847
2009,Economic,101478,109677
2002,Economic,101000,128757
2002,Economic,101000,128757
2007,Economic,100950,112667
2006,Economic,100672,115396
2002,Economic,100450,128056
2007,Economic,100000,111606
2012,Economic,100000,103287
2009,Economic,100000,108080
2013,Economic,100000,101521
2010,Economic,100000,107147
2007,Economic,100000,111606
2001,Economic,100000,129530
2001,Economic,100000,129530
2001,Economic,100000,129530
2002,Economic,100000,127482
2012,Economic,100000,103287
2004,Economic,100000,122069
2011,Economic,100000,105095
2012,Economic,100000,103287
2011,Economic,100000,105095
2001,Economic,100000,129530
2005,Economic,100000,118353
2009,Economic,100000,108080
2013,Economic,100000,101521
2002,Economic,100000,127482
2011,Economic,100000,105095
2005,Economic,99956,118300
2008,Economic,99800,109129
2007,Economic,99800,111383
2010,Economic,99764,106895
2009,Economic,99700,107755
2003,Economic,99700,124717
2005,Economic,99664,117955
2006,Economic,99473,114021
2002,Economic,99208,126473
2007,Economic,99000,110490
2009,Economic,98768,106749
2009,Economic,98676,106649
2011,Economic,98570,103592
2005,Economic,97633,115551
2004,Economic,97400,118895
2015,Economic,97340,96042
2013,Economic,97339,98821
2003,Economic,97163,121543
2009,Economic,97078,104921
2013,Economic,96648,98118
2007,Economic,96631,107847
2009,Economic,96600,104405
2000,Economic,96100,127488
2000,Economic,96100,127488
2008,Economic,96000,104974
2004,Economic,96000,117186
2000,Military,96000,127355
2013,Economic,96000,97460
2006,Economic,95100,109008
2008,Economic,95033,103917
2003,Economic,94185,117819
2005,Economic,94165,111447
2005,Economic,93960,111204
2006,Economic,93960,107701
2006,Economic,93000,106601
2008,Economic,92902,101586
2015,Economic,92251,91021
2006,Economic,92141,105617
2002,Economic,91941,117209
2003,Economic,91600,114584
2001,Economic,91600,118649
2013,Economic,91465,92857
2010,Economic,90941,97441
2005,Economic,90851,107525
2002,Economic,90303,115121
2010,Economic,90000,96433
2002,Economic,90000,114734
2006,Economic,90000,103162
2006,Economic,90000,103162
2011,Economic,89500,94060
2005,Economic,89300,105689
2013,Economic,88253,89596
2012,Economic,88238,91139
2005,Economic,88200,104387
2001,Economic,87600,113468
2012,Economic,87186,90052
2006,Economic,87100,99838
2010,Economic,87029,93249
2004,Economic,87000,106200
2010,Economic,86895,93106
2005,Economic,86800,102730
2006,Economic,86794,99488
2011,Economic,86422,90825
2004,Economic,86400,105467
2012,Economic,86254,89089
2006,Economic,86243,98856
2014,Economic,85887,85887
2008,Economic,85705,93717
2009,Economic,85700,92624
2015,Economic,85504,84364
2006,Economic,85038,97475
2005,Economic,84921,100506
2002,Economic,84848,108166
2016,Economic,84770,82332
2006,Economic,84656,97038
2012,Economic,84438,87214
2001,Economic,84400,109323
2005,Economic,84000,99416
2011,Economic,83813,88084
2008,Economic,83416,91214
2015,Economic,83221,82111
2006,Economic,82896,95020
2001,Economic,82700,107121
2002,Economic,82461,105123
2005,Economic,82339,97451
2003,Economic,82200,102826
2012,Economic,81837,84528
2008,Economic,81642,89275
2013,Economic,81591,82832
2013,Economic,81443,82682
2012,Economic,81118,83784
2000,Economic,81020,107483
2009,Economic,80978,87521
2000,Economic,80500,106793
2012,Economic,80250,82888
2014,Economic,80000,80000
2014,Economic,80000,80000
2004,Economic,80000,97655
2008,Economic,79976,87453
2007,Economic,79700,88950
2007,Economic,79550,88783
2010,Economic,79541,85226
2016,Economic,79517,77230
2011,Economic,79490,83540
2004,Economic,79200,96678
2014,Economic,79000,79000
2009,Economic,79000,85383
2007,Economic,78860,88013
2012,Economic,78846,81438
2007,Economic,78641,87769
2005,Economic,78500,92907
2014,Economic,78092,78092
2012,Economic,77785,80342
2007,Economic,77557,86559
2009,Economic,77323,83571
2008,Economic,77204,84421
2011,Economic,77000,80923
2008,Economic,76858,84043
2008,Economic,76800,83979
2012,Economic,76569,79086
2002,Economic,76464,97478
2002,Economic,76310,97283
2004,Economic,76050,92833
2016,Economic,75986,73801
2005,Economic,75775,89683
2000,Economic,75600,100292
2002,Economic,75000,95612
2010,Economic,75000,80360
2002,Economic,74788,95342
2008,Economic,74330,81279
2002,Economic,74216,94613
2011,Economic,73902,77667
2004,Economic,73800,90087
2002,Economic,73600,93827
2014,Economic,73525,73525
2009,Economic,73500,79438
2004,Economic,73500,89720
2011,Economic,73000,76719
2000,Economic,72800,96578
2011,Economic,72718,76423
2003,Economic,72600,90817
2015,Economic,72542,71575
2008,Economic,72500,79277
2007,Economic,72200,80580
2013,Economic,72099,73196
2011,Economic,72099,75773
2005,Economic,72096,85328
2010,Economic,72027,77175
2003,Economic,72000,90066
2004,Economic,71900,87767
2005,Economic,71550,84681
2006,Economic,71549,82013
2008,Economic,71500,78184
2009,Economic,71400,77169
2002,Economic,71173,90733
2001,Economic,71100,92095
2004,Economic,71024,86698
2012,Economic,71001,73335
2009,Economic,71000,76736
2003,Economic,71000,88815
2005,Economic,70822,83820
2006,Economic,70700,81039
2005,Economic,70489,83426
2003,Economic,70108,87700
2002,Economic,70000,89238
2011,Economic,70000,73566
2004,Economic,70000,85448
2009,Economic,70000,75656
2003,Economic,69700,87189
2014,Economic,69464,69464
2010,Economic,69288,74240
2002,Economic,69238,88267
2007,Economic,68752,76732
2014,Economic,68654,68654
2003,Economic,68200,85313
2011,Economic,68196,71671
2006,Economic,67800,77715
2001,Economic,67800,87821
2005,Economic,67600,80006
2003,Economic,67250,84124
2009,Economic,67157,72583
2002,Economic,66749,85094
2000,Economic,66700,88485
2000,Economic,66700,88485
2010,Economic,66529,71284
2001,Economic,66200,85748
2015,Economic,66067,65187
2006,Economic,65700,75308
2008,Economic,65700,71841
2008,Economic,65697,71839
2007,Economic,65640,73259
2003,Economic,65545,81992
2012,Economic,65472,67625
2000,Economic,65200,86495
2014,Economic,65000,65000
2003,Economic,64977,81282
2006,Economic,64800,74277
2008,Economic,64728,70779
2014,Economic,64720,64720
2002,Economic,64599,82353
2014,Economic,64151,64151
2008,Economic,64054,70042
2008,Economic,64000,69983
2012,Economic,63767,65863
2011,Economic,63482,66716
2011,Economic,63407,66637
2015,Economic,63171,62329
2013,Economic,62826,63782
2012,Economic,62480,64534
2013,Economic,62206,63153
2005,Economic,62014,73395
2011,Economic,62000,65159
2002,Economic,62000,79039
2002,Economic,61917,78934
2011,Economic,61593,64731
2004,Economic,61584,75175
2005,Economic,60450,71544
2006,Economic,60448,69289
2011,Economic,60434,63513
2005,Economic,60200,71248
2003,Economic,60193,75297
2015,Economic,60171,59369
2005,Economic,60100,71130
2011,Economic,60088,63150
2011,Economic,60052,63112
2004,Economic,60000,73241
2014,Economic,60000,60000
2008,Economic,59706,65287
2012,Economic,59547,61504
2005,Economic,59500,70420
2008,Economic,59329,64876
2001,Economic,59000,76422
2012,Economic,58910,60847
2010,Economic,58301,62468
2004,Economic,58300,71166
2010,Economic,58052,62201
2006,Economic,58000,66482
2005,Economic,58000,68644
2005,Economic,57800,68408
2001,Economic,57800,74868
2003,Economic,57729,72215
2012,Economic,57672,59568
2012,Economic,57628,59522
2015,Economic,57549,56782
2002,Economic,57516,73323
2001,Economic,57500,74479
2005,Economic,56800,67224
2005,Economic,56700,67106
2002,Economic,56700,72282
2014,Economic,56619,56619
2014,Economic,56300,56300
2003,Economic,56200,70302
2010,Economic,56158,60172
2006,Economic,56100,64304
2002,Economic,55997,71386
2010,Economic,55942,59941
2010,Economic,55548,59519
2013,Economic,55481,56326
2013,Economic,55481,56326
2005,Economic,55420,65591
2011,Economic,54980,57781
2004,Economic,54916,67035
2010,Economic,54587,58489
2012,Economic,54345,56131
2005,Economic,53853,63736
2005,Economic,53849,63732
2016,Economic,53669,52126
2012,Economic,52932,54672
2001,Economic,52700,68262
2016,Economic,52628,51115
2013,Economic,52623,53424
2004,Economic,52202,63723
2008,Economic,52200,57079
2015,Economic,52088,51394
2014,Economic,52071,52071
2005,Economic,52042,61594
2008,Economic,51635,56462
2012,Economic,51450,53142
2012,Economic,51108,52789
2012,Economic,50981,52657
2010,Economic,50623,54242
2006,Economic,50572,57969
2009,Economic,50536,54619
2008,Economic,50268,54967
2015,Economic,50053,49386
2005,Economic,50000,59176
2006,Economic,50000,57312
2008,Economic,50000,54674
2014,Economic,50000,50000
2009,Economic,50000,54040
2003,Economic,50000,62546
2002,Economic,50000,63741
2001,Economic,50000,64765
2001,Economic,50000,64765
2002,Economic,50000,63741
2001,Economic,50000,64765
2002,Economic,50000,63741
2002,Economic,50000,63741
2007,Economic,50000,55803
2002,Economic,50000,63741
2010,Economic,50000,53573
2008,Economic,50000,54674
2012,Economic,50000,51643
2009,Economic,50000,54040
2002,Economic,50000,63741
2009,Economic,50000,54040
2012,Economic,50000,51643
2004,Economic,50000,61034
2013,Economic,49990,50750
2007,Economic,49893,55684
2001,Economic,49846,64566
2001,Economic,49600,64246
2013,Economic,49577,50332
2007,Economic,49393,55126
2002,Economic,49046,62525
2012,Economic,48589,50186
2005,Economic,48458,57352
2012,Economic,48100,49681
2012,Economic,48100,49681
2007,Economic,48100,53682
2011,Economic,48000,50445
2006,Economic,47874,54876
2016,Economic,47739,46366
2012,Economic,47615,49181
2005,Economic,47404,56104
2000,Economic,46800,62085
2004,Economic,46561,56837
2009,Economic,46534,50293
2010,Economic,46528,49854
2006,Economic,46500,53300
2003,Economic,46500,58168
2005,Economic,46017,54462
2002,Economic,46000,58642
2003,Economic,46000,57542
2013,Economic,46000,46699
2014,Economic,46000,46000
2012,Economic,46000,47512
2011,Economic,45955,48297
2012,Economic,45794,47300
2004,Economic,45580,55640
2009,Economic,45488,49164
2012,Economic,45318,46807
2011,Economic,45286,47593
2011,Economic,45000,47292
2009,Economic,45000,48636
2002,Economic,45000,57367
2014,Economic,45000,45000
2014,Economic,45000,45000
2014,Economic,45000,45000
2013,Economic,45000,45684
2014,Economic,45000,45000
2014,Economic,45000,45000
2011,Economic,44657,46932
2002,Economic,44621,56884
2013,Economic,44568,45246
2002,Economic,44406,56610
2005,Economic,44400,52548
2012,Economic,44351,45809
2009,Economic,44248,47823
2009,Economic,44248,47823
2014,Economic,44226,44226
2007,Economic,44218,49351
2003,Economic,44097,55162
2002,Economic,44056,56164
2003,Economic,44000,55040
2006,Economic,44000,50435
2002,Economic,43952,56032
2005,Economic,43900,51956
2016,Economic,43856,42595
2012,Economic,43839,45280
2014,Economic,43807,43807
2012,Economic,43803,45243
2003,Economic,43600,54540
2008,Economic,43444,47505
2003,Economic,43400,54290
2001,Economic,43400,56216
2010,Economic,43398,46500
2010,Economic,43398,46500
2005,Economic,43231,51166
2006,Economic,43137,49446
2010,Economic,43015,46090
2013,Economic,43000,43654
2010,Economic,43000,46073
2006,Economic,42900,49174
2006,Economic,42640,48876
2011,Economic,42551,44719
2010,Economic,42406,45437
2005,Economic,42300,50063
2007,Economic,42252,47157
2012,Economic,42097,43481
2014,Economic,42079,42079
2014,Economic,42000,42000
2009,Economic,42000,45393
2009,Economic,42000,45393
2006,Economic,42000,48142
2008,Economic,41959,45881
2009,Economic,41892,45277
2006,Economic,41600,47684
2004,Economic,41250,50353
2004,Economic,41224,50322
2006,Economic,41200,47225
2011,Economic,41000,43089
2013,Economic,41000,41623
2003,Economic,40800,51037
2010,Economic,40728,43640
2007,Economic,40581,45292
2013,Economic,40532,41148
2003,Economic,40430,50574
2005,Economic,40300,47696
2015,Economic,40284,39747
2014,Economic,40238,40238
2008,Economic,40200,43959
2001,Economic,40083,51919
2008,Economic,40082,43829
2011,Economic,40076,42117
2014,Economic,40000,40000
2012,Economic,40000,41314
2010,Economic,40000,42859
2011,Economic,40000,42038
2010,Economic,40000,42859
2001,Economic,40000,51812
2001,Economic,40000,51812
2015,Economic,40000,39466
2007,Economic,39958,44596
2011,Economic,39856,41886
2008,Economic,39847,43572
2009,Economic,39819,43037
2009,Economic,39819,43037
2004,Economic,39723,48490
2011,Economic,39654,41675
2000,Economic,39400,52268
2016,Economic,39339,38208
2007,Economic,39250,43805
2003,Economic,39021,48813
2009,Economic,38994,42144
2010,Economic,38858,41635
2010,Economic,38819,41593
2006,Economic,38700,44359
2014,Economic,38475,38475
2004,Economic,38369,46837
2000,Economic,38200,50677
2002,Economic,38072,48536
2011,Economic,37937,39870
2004,Economic,37907,46273
2007,Economic,37800,42187
2013,Economic,37760,38335
2003,Economic,37757,47231
2014,Military,37717,37717
2007,Economic,37700,42075
2006,Economic,37509,42995
2004,Economic,37350,45593
2011,Economic,37321,39222
2005,Economic,37200,44027
2013,Economic,37195,37761
2009,Economic,37116,40115
2005,Economic,37100,43908
2013,Economic,37064,37628
2005,Economic,37050,43849
2006,Economic,37049,42468
2011,Economic,36968,38852
2004,Economic,36595,44671
2008,Economic,36531,39946
2007,Economic,36399,40624
2006,Economic,36360,41677
2015,Economic,36243,35760
2005,Economic,36200,42843
2008,Economic,36163,39544
2015,Economic,35880,35402
2007,Economic,35800,39955
2015,Economic,35704,35228
2010,Economic,35628,38174
2009,Economic,35471,38337
2011,Economic,35435,37241
2003,Economic,35367,44242
2010,Economic,35353,37880
2003,Economic,35318,44180
2005,Economic,35300,41778
2008,Economic,35164,38451
2009,Economic,35095,37931
2010,Economic,35000,37501
2012,Economic,35000,36150
2012,Economic,35000,36150
2014,Economic,35000,35000
2003,Economic,34884,43638
2005,Economic,34600,40950
2008,Economic,34567,37798
2002,Economic,34523,44011
2008,Economic,34523,37750
2009,Economic,34449,37233
2008,Economic,34300,37506
2007,Economic,34200,38169
2008,Economic,34119,37309
2010,Economic,34056,36490
2007,Economic,33900,37834
2007,Economic,33600,37499
2006,Economic,33300,38170
2009,Economic,33000,35666
2003,Economic,33000,41280
2005,Economic,32847,38875
2005,Economic,32800,38819
2007,Economic,32778,36582
2004,Economic,32739,39964
2011,Economic,32721,34388
2009,Economic,32540,35169
2006,Economic,32400,37138
2007,Economic,32400,36160
2011,Economic,32350,33998
2005,Economic,32330,38263
2010,Economic,32261,34567
2012,Economic,32255,33316
2014,Economic,32174,32174
2014,Economic,32134,32134
2012,Economic,32100,33155
2005,Economic,32025,37903
2014,Economic,32000,32000
2014,Economic,32000,32000
2013,Economic,31980,32466
2006,Economic,31900,36565
2005,Economic,31836,37679
2004,Economic,31716,38715
2008,Economic,31288,34212
2015,Economic,31261,30845
2008,Economic,31200,34116
2006,Economic,31200,35763
2008,Economic,31200,34116
2007,Economic,31193,34813
2008,Economic,31053,33956
2004,Economic,31012,37856
2002,Economic,31000,39519
2008,Economic,30994,33891
2004,Economic,30939,37767
2015,Economic,30863,30452
2003,Economic,30861,38605
2004,Economic,30715,37494
2014,Economic,30601,30601
2006,Economic,30500,34960
2016,Economic,30439,29564
2004,Economic,30410,37121
2006,Economic,30408,34855
2015,Economic,30315,29911
2012,Economic,30278,31273
2009,Economic,30137,32572
2010,Economic,30014,32159
2005,Economic,30000,35505
2001,Economic,30000,38859
2002,Economic,30000,38244
2004,Economic,30000,36620
2006,Economic,30000,34387
2003,Economic,30000,37527
2011,Economic,30000,31528
2012,Economic,30000,30986
2005,Economic,30000,35505
2006,Economic,30000,34387
2007,Economic,30000,33482
2013,Economic,30000,30456
2013,Economic,29961,30417
2013,Military,29933,30389
2012,Economic,29903,30886
2014,Economic,29800,29800
2004,Economic,29700,36254
2012,Economic,29653,30628
2003,Economic,29576,36997
2009,Economic,29575,31964
2000,Economic,29400,39002
2008,Economic,29329,32071
2016,Economic,29028,28194
2016,Economic,29001,28167
2009,Economic,28953,31293
2007,Economic,28900,32254
2001,Economic,28863,37387
2006,Economic,28860,33080
2004,Economic,28712,35048
2001,Economic,28597,37041
2008,Economic,28552,31221
2011,Economic,28514,29967
2009,Economic,28504,30807
2006,Economic,28500,32668
2011,Economic,28427,29875
2010,Economic,28328,30352
2010,Economic,28327,30352
2009,Economic,28226,30506
2006,Economic,28200,32324
2000,Economic,27900,37012
2007,Economic,27885,31122
2012,Economic,27642,28551
2002,Economic,27378,34903
2013,Economic,27131,27544
2009,Economic,27000,29181
2006,Economic,27000,30948
2011,Economic,26969,28343
2004,Economic,26900,32836
2006,Economic,26886,30818
2005,Economic,26800,31718
2012,Economic,26784,27664
2008,Economic,26664,29156
2005,Economic,26563,31438
2002,Economic,26500,33783
2005,Economic,26500,31363
2013,Economic,26333,26733
2012,Economic,26217,27079
2009,Economic,26082,28189
2008,Economic,26063,28500
2006,Economic,26000,29802
2002,Economic,25898,33015
2015,Economic,25843,25499
2006,Economic,25819,29595
2011,Economic,25751,27063
2012,Economic,25736,26582
2000,Economic,25700,34094
2005,Economic,25623,30326
2003,Economic,25600,32023
2002,Economic,25546,32567
2006,Economic,25500,29229
2004,Economic,25454,31072
2005,Economic,25432,30099
2011,Economic,25422,26717
2008,Economic,25421,27798
2012,Economic,25409,26244
2013,Economic,25399,25785
2011,Economic,25301,26590
2004,Economic,25279,30858
2009,Economic,25077,27103
2011,Economic,25074,26351
2013,Economic,25054,25435
2014,Economic,25037,25037
2009,Economic,25000,27020
2012,Economic,25000,25821
2013,Economic,25000,25380
2004,Economic,25000,30517
2001,Economic,25000,32382
2010,Economic,25000,26786
2002,Economic,25000,31870
2007,Economic,25000,27901
2010,Economic,25000,26786
2010,Economic,25000,26786
2010,Economic,24905,26685
2003,Economic,24895,31141
2007,Economic,24895,27784
2012,Economic,24859,25676
2010,Economic,24859,26636
2011,Economic,24845,26111
2010,Economic,24835,26610
2005,Economic,24800,29351
2006,Economic,24799,28426
2002,Economic,24653,31428
2004,Economic,24563,29984
2003,Economic,24532,30687
2005,Economic,24500,28996
2011,Economic,24458,25704
2011,Economic,24458,25704
2012,Military,24314,25113
2006,Economic,24300,27853
2010,Economic,24065,25785
2005,Economic,24062,28479
2007,Economic,24000,26785
2003,Economic,24000,30022
2005,Economic,23912,28300
2009,Economic,23850,25778
2010,Economic,23597,25283
2011,Economic,23591,24793
2014,Economic,23576,23576
2014,Economic,23508,23508
2012,Economic,23376,24144
2012,Economic,23356,24124
2010,Economic,23262,24925
2011,Economic,23239,24423
2007,Economic,23200,25892
2001,Economic,23200,30051
2002,Economic,23161,29527
2012,Economic,23107,23866
2006,Economic,23021,26388
2014,Economic,22978,22978
2012,Economic,22960,23715
2009,Economic,22900,24750
2011,Economic,22887,24053
2003,Economic,22831,28560
2006,Economic,22800,26134
2015,Economic,22614,22312
2013,Economic,22571,22914
2012,Economic,22528,23268
2010,Economic,22500,24108
2011,Economic,22424,23566
2011,Economic,22424,23566
2005,Economic,22411,26524
2005,Economic,22366,26471
2005,Economic,22341,26442
2002,Economic,22244,28357
2005,Economic,22097,26152
2011,Economic,22010,23131
2001,Economic,21964,28451
2007,Economic,21900,24441
2002,Economic,21895,27913
2008,Economic,21870,23914
2008,Economic,21797,23834
2004,Economic,21700,26488
2003,Economic,21700,27145
2007,Economic,21684,24200
2013,Economic,21582,21911
2004,Economic,21400,26122
2007,Economic,21358,23837
2010,Economic,21316,22840
2011,Economic,21264,22347
2014,Economic,21167,21167
2004,Economic,21134,25798
2005,Economic,21100,24972
2007,Economic,21100,23549
2014,Economic,21037,21037
2009,Economic,20971,22665
2002,Economic,20831,26556
2006,Economic,20700,23727
2005,Economic,20700,24499
2010,Economic,20652,22128
2008,Economic,20593,22519
2016,Economic,20171,19591
2011,Economic,20151,21177
2008,Economic,20050,21924
2008,Economic,20050,21924
2007,Economic,20000,22321
2009,Economic,20000,21616
2005,Economic,20000,23670
2005,Economic,20000,23670
2003,Economic,20000,25018
2007,Economic,19900,22209
2008,Economic,19794,21645
2005,Economic,19720,23339
2005,Economic,19700,23315
2007,Economic,19700,21986
2013,Military,19383,19677
2006,Economic,19300,22122
2009,Economic,19216,20769
2001,Economic,19200,24869
2003,Economic,19166,23975
2009,Economic,19161,20709
2005,Economic,19060,22558
2003,Economic,19036,23813
2015,Economic,19000,18746
2015,Economic,19000,18746
2002,Economic,18920,24119
2004,Economic,18915,23090
2007,Economic,18897,21090
2005,Economic,18600,22013
2009,Economic,18579,20080
2009,Economic,18531,20028
2012,Economic,18430,19036
2008,Economic,18425,20147
2000,Economic,18300,24277
2005,Economic,18284,21639
2011,Economic,18243,19173
2009,Economic,18222,19694
2010,Economic,18096,19389
2003,Economic,18000,22516
