Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Outflows,508.3,478.7,281.6,552.8,683.4,304.3,403.9,1116.2,2129.9,556.7,681.5,1408.7,1580.8,1762.5,1444.2
Homicides,3176,3477,3623,4073,3639,3212,3118,3588,4455,5280,6236,7104,7172,6757,5936
